imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0790602,,Nitro (2007),,,,,,,,,,,,,,,,"$3,768,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,251",,,,
3638396,,Closet Monster (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$194,,,
1798603,,Bad Santa 2 (2016),,"$1,019,129",,,,,,"$36,237",,,,,,"$27,446",,,,,,,"$21,586",,,"$21,242",,"$144,213","$46,315",,,,"$894,066",,,,,,,"$22,132",,,"$184,365","$114,271",,"$74,885",,,,,,,"$69,124","$58,129",,"$364,157","$709,372",,,"$23,588","$21,338",,,,,,,,,,,"$68,431","$25,816","$2,351,248",,,
4193400,,The People Vs. Fritz Bauer (2015),$41,,"$32,325",,,,,,,,,,,,,,,,,,,"$203,931","$1,925,793","$2,330",,,,,,,"$274,561",,,,,,,,,,"$35,655",,,"$8,761",,,,,,,,"$9,786",,,,,,,,,,"$302,307",,,,,,,,,,,,,
2989350,,Dare to Be Wild (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,072",,,,,,,,,,,,,,
4649416,,Almost Christmas (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$265,407",,,,,,,,,,,,"$145,516",,,
2898306,,Harry & Snowman (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450506,,Suburban Mayhem (2006),,"$174,117",,,,,"$7,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,536",,,
4239726,,Tanna (2015),,,,,,,,,,,,,,,,,,,,,"$15,974",,,"$19,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,451",,,,,,,,,,$765,,,
4559006,,Ae Dil Hai Mushkil (2016),,"$562,063",,,,,,,,,,,,,,,,,,,,,,,,,,"$22,527,361",,,,,,,,,,,,,,"$187,828",,"$38,736",,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,270,893","$1,817,056",,,
0378262,,Little Longnose (2003),,,,,,,,,,,,,,,,,,,,,,,"$690,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,808",,,,,,,,,
3686272,,The Misfits Club (2014),,,,,,,,,"$34,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,566",,,,,,,,,"$180,827",,,,,,,,,,,,,,,,,,,,,,,,,,
5129818,,Under the Sun (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,708",,,,,,"$161,249",,,,,,,,,,,,,,
5278592,,Kate Plays Christine (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,800",,,
4964772,,Risk (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,450",,,
