imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1860213,,Dirty Grandpa (2016),"$666,988","$4,517,429","$2,694,197","$207,292","$792,423",,"$279,444","$347,079",,"$87,955",,"$343,328","$415,642",,,,"$97,844",,,,,"$1,557,448","$11,678,806",,"$67,273","$1,459,710","$1,743,349","$84,408",,,,"$3,327,045",,,,"$292,938","$122,064",,"$3,179,746","$1,544,687","$504,813",,,"$28,849","$646,354","$95,129","$854,374","$626,087",,"$1,415,105","$4,398,628","$191,672","$285,547","$204,947","$306,593","$364,796","$523,946",,,,"$80,087","$862,445","$1,243,856","$47,901","$122,327","$643,465","$1,087,323","$7,473,100","$80,759",,
4643844,,God Willing (2015),,"$621,808",,,,,,,,,,"$71,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,811",,
2025690,,The Finest Hours (2016),"$353,534","$177,086",,"$201,275","$75,052","$111,022","$384,305","$100,951",,"$160,910",,"$304,987",,"$39,802",,,"$554,575","$55,709",,,,"$300,577","$32,296",,"$84,824","$1,196,108",,,"$293,008",,"$96,757",,"$2,221,112","$21,827",,"$183,460",,"$628,349","$872,330",,"$205,561",,,"$178,209","$258,479","$161,295","$120,806","$178,782",,"$310,453","$3,195,800",,"$318,022",,,"$202,248",,,,,,,"$1,158,023","$359,113","$286,855","$500,397","$1,543,347","$356,716","$23,557",,
0856797,,Ghost in the Shell: Stand Alone Complex - Solid State Society (2006),,,,,,,,,,,,,,,,,,,,,,,,,,"$2,127",,,,,,,"$2,053,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445178,,Molly Moon and the Incredible Book of Hypnotism (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,294",,,"$14,864",,,,,,,,,,,,"$1,018",,,
1437361,,The Pimp (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$921,078",,,,,,,,,,,,,,,,,,,,
1682187,,Lucky Trouble (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,437,699",,,,,,,,,,,,,,,,,,,,
1364289,,Samyy luchshiy film 2 (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,322,002",,,,,,,,,,,,,,,,,,,,
4196450,,The Birth of a Nation (2016),,,,,,,,,,,,,,,,,,,,,,"$554,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,277",,"$52,936",,,,,,,,"$1,218","$20,979","$279,117",,,
0047119,,An Inspector Calls (1954),,,,,,,,,,,"$5,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
