Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
The Free Will (2006),,,,,,,,,,,,,,,,,"$14,524",,,,,,,,,,,,,,,,,,,,"$26,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword of the Stranger (2007),,,,,,,,,,,,,,,,,"$13,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$230,,,,,,,,,"$231,950",,,,,,,,,,,,,,,
Small Cuts (2003),,,,,,,,,,,,,,,,,"$1,001,713",,,,,,,,,,"$1,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Rumba River (2007),,,,,,,,,,,,,,,,,"$4,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go Go Tales (2007),,,,,,,,,,,,,,,,,"$29,086","$849,766",,,"$16,708",,,,,,,,,,,,,,,"$40,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Hell of a Day (2001),,,,,,,,,,,,,,,,,"$1,292,689","$27,744",,,,,,,,,,,,,,,,,,,,,,,"$14,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Buck Howard (2008),,,,,,,,,,,,,,,,,"$2,503",,,,,,,,,,,,,,"$15,538",,,,,,"$3,217",,"$18,350","$110,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil Is a Woman (1935),,,,,,,,,,,,,,,,,"$2,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Centimeters per Second (2007),,,,,,,,,,,,,,,,,,"$31,941",,,,,,,,,,,,,,,,,,,"$12,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$441,917",,,,,,,,,,"$7,525",,,,,,,,,,,,,,
Cialo (2003),,,,,,,,,,,,,,,,,,,,"$1,082,666",,,,,,,,,,,,,,,,,,,,"$10,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Music Room (1958),,,,,,,,,,,,,,,,,,,,,"$3,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Ice (2007),,,,,,,,,,,,,,,,,,,,,,,,"$1,461,154",,,,,,,,,,,,,"$27,201",,,,,,,,,,,,,,,,,,,,,,,,,,"$4,730",,,$190,"$19,539",,,,,,,,,,"$84,303",,,,,,,,,,,,,,
Every Little Step (2008),,,,,,,,,,,,,,,,,,,,,,,,,"$15,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,428",,,"$99,813",,,,,,,,,,"$915,373",,,,,,,,,,,,,,,
Lymelife (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$218,,,"$71,988",,,,,"$14,158",,,,,,,,,,,,,,,,,,,,,,,,,,"$32,732",,,,,,,,,,,,,,,,,,,,,,,,
Maradona by Kusturica (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Banishment (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$332,224",,,,,,,,,,,,,,,,,,,,,,,,,,"$16,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wave (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,083","$16,557",,,"$142,635","$181,293",,,"$129,199","$46,855","$73,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les deux mondes (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,021,856",,,,,,,,,,,,,"$3,712,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admiral (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,527,887","$30,980",,,,,,,,,,,,,,,,,,,,,,,,,,"$20,968",,,,"$234,039",,,,,,,,,,,,,,,,,,,,,,,,
Chaotic Ana (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$112,961","$25,155",,,"$12,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiter (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Involuntary (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poultrygeist: Night of the Chicken Dead (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Season 2 (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,262,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$199,915",,,,,,,,,,,,,,,,,,,,,,,,
Wo ist Fred? (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$310,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,564",,,,,,,,,,,,,,,,,,,,,,,,
California Dreamin' (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenes of a Sexual Nature (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,025",,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incendiary (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Merry Widow (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,585",,,,"$64,180","$151,596",,,,"$18,646","$23,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promise Me This (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$325,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,452",,,,,,,,,,,,,,,,,,,,,,,,
Dark Planet (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,834,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Maiden: Flight 666 (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$74,134",,,,,,,,,,,,,,,,,,,,,,,,,
The King of Ping Pong (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood and Bones (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,370,922",,,,,,,,,,,,,,,
Café Lumière (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,942",,,,"$51,258",,,,,,,,,,,,,,,,,,,,,,,,,,"$56,869",,,,,,,,,,,,,,,,,,,,,,,,
The Black Balloon (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,105,473",,,,,,,,,,,,,,,,,,,,,,,,,
Turtles Swim Faster Than Expected (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,003",,,,,,,,,,,,,,,,,,,,,,,,
Welcome (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,432",,,"$32,764",,,,,,,,,,,,,,,,,,,,,,,"$55,903",,,"$558,706","$46,932",,,,,,,,,,,,,,,,,,,,,,,,
Home (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,846",,"$7,355","$13,028","$23,969",,,,,,,,,,,,,,,,,,,,,,,,,,"$2,933",,,,,,,,,,"$21,420",,,,,,,,,,,,,,
Day of the Dead (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En la Cama (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$137,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Secrets (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,280","$12,514",,,,,"$12,838",,"$58,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Butterfly Effect 3: Revelations (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$606,118",,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,017",,,,,,,,,,,,,,,,,,,,,,,,
Linha de Passe (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$743,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Killers (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$548,299",,,,,,,,,,,,,,,,,,,,,,"$23,651","$15,476",,,"$100,104",,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Story (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$189,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Cliff II (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,043,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing Like the Holidays (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samson & Delilah (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$92,647",,,"$2,427,981",,,,,,,,,,,,,,,,,,,,,,,,,
Martyrs (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,431",,,,,,,,,,,,,,,,,,,,,,,,
Fireproof (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,980",,,,,,,,,,,,,,,,,,,,,,,,
Man in the Chair (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$113,,,,,,,,,,,,,,,,,,,,,,,,
Shara (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,205",,,,,,,,,,,,,,,,,,,,,,,,
In the Electric Mist (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,450",,,,,,,,,,,,,,,,,,,,,,,,
