Movie Name,Belgium,Argentina,Uruguay,Russia/CIS,Domestic,Brazil,Thailand,South Korea,Spain,Italy,Germany,France,Austria,Norway,United Arab Emirates,Bulgaria,Türkiye,Greece,Portugal,Croatia,South Africa,Slovenia,Iceland,Serbia and Montenegro,Oman,Australia,United Kingdom,Romania,Ukraine,Switzerland,Hungary,Chile,Switzerland (German),Finland,Poland,Slovakia,New Zealand,Singapore,Netherlands,Denmark,Sweden,Lebanon,Switzerland (French),Czech Republic,Lithuania,Latvia,Switzerland (Italian),Kenya,Mexico,Venezuela,Colombia,Peru,Bolivia,Ecuador,Japan,Hong Kong,India,Taiwan,Malaysia,Philippines,Vietnam,China,Qatar,Egypt,Israel,Bahrain,Jordan,Nigeria,Estonia,Ethiopia,Ghana,Cyprus,Panama,Paraguay,Cambodia
Snowman's Land (2010),,,,,"$1,190",,,,"$1,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost in the Shell: The New Movie (2015),,,,,"$101,203",,,,,,,,,"$174,520",,,,,,,"$168,475","$14,609","$23,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,231,108",,,,,,,,,,,,,,,,,,,,
Olvidados (2014),,,,,"$24,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$116,795",,,,,,,,,,,,,,,,,,,,,,
My Sweet Orange Tree (2012),,,,,,"$359,842","$19,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque Pascal (2010),,,,,,"$7,200",,,,,,,,,,,,,,,,,,,,,,,,,"$21,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under the Rainbow (2013),,,,,,"$67,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl in the Book (2015),,,,,,"$73,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quatre étoiles (2006),,,,,,"$43,059",,,,"$60,759",,"$5,555,830",,,,,,,,,,,,,,,,$716,,,,,,,,,,,,,,,,,,,,,"$23,787","$40,147",,,,,,,,,,,,,,,,,,,,,,,,,
Midnight Sun (2006),,,,,,,"$6,484","$406,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,074,505","$138,336",,"$8,613",,,,,,,,,,,,,,,,,
Boruto: Naruto the Movie (2015),,,,,,,"$228,579","$406,478",,,,"$69,687",,,,,,,,,,,,,,"$175,887",,,,,,,,,,,"$33,805",,,,,,,,,,,,"$144,394",,,,,,"$20,477,537","$83,140",,"$59,802","$370,848",,,"$15,392,640",,,,,,,,,,,,,
The Phone (2015),,,,,,,,"$2,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Here After (2015),,,,,,,,"$6,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The President (2014),,,,,,,,"$7,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Times (2015),,,,,,,,"$2,842,967",,,,,,,,,,,,,,,,,,"$333,642","$50,166",,,,,,,,,,"$32,849","$3,171,750",,,,,,,,,,,,,,,,,,"$5,994,625",,"$14,660,808","$2,346,748",,,"$54,499,955",,,,,,,,,,,,,
Tumbledown (2015),,,,,,,,"$44,797","$1,325",,,,,,,,"$28,230",,"$4,375","$13,806",,"$2,600",,"$7,739",,,,,,,,,,,"$44,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memories of the Sword (2015),,,,,,,,"$2,233,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Priests (2015),,,,,,,,"$36,367,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villain (2010),,,,,,,,"$22,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,265,088","$55,795",,"$62,923",,,,,,,,,,,,,,,,,
Worlds Apart (2015),,,,,,,,"$203,398",,,,,,,,,,"$4,734,653",,,,,,,,,,,,,"$13,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closed Note (2007),,,,,,,,"$5,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,524,929",,,,,,,,,,,,,,,,,,,,
Sister Smile (2009),,,,,,,,"$3,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping of Michel Houellebecq (2014),,,,,,,,,"$75,764",,,,"$7,908",,,,,,,,,,,,,,"$1,928",,,,,,,,"$10,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yalom's Cure (2014),,,,,,,,,"$41,929",,"$528,435",,"$135,939",,,,,"$59,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve McQueen: The Man & Le Mans (2015),,,,,,,,,"$4,157",,,,,,,,,,,,,,,,,,"$30,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahora o nunca (2015),,,,,,,,,"$9,425,052",,,,,,,,,,"$2,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
