imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Yugoslavia
0078748,,Alien (1979),"$387,733","$3,494,292","$246,219",,"$228,889","$24,727","$441,974",,"$90,722",,"$128,805",,"$26,018",,,"$32,133",,"$117,157","$81,900,459",,,,"$24,000",,"$88,148","$4,727,920","$1,015,230",,"$89,380","$594,950",,"$3,949","$44,359",,,"$47,703","$661,770","$45,000","$4,462,984",,,,,,,,"$137,387","$829,842",,,,"$314,699","$181,795","$124,902",,,"$99,209","$216,205","$41,550","$18,942","$290,346",,"$140,015",,"$291,507",,"$198,530",,,,,,"$842,260","$1,652,056",,,"$200,326","$40,478",,,,"$1,495,028","$64,239","$181,685",,
0106308,,Army of Darkness (1992),,,,,,,,,,,,,,,,,,,"$11,502,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0095250,,The Big Blue (1988),,,,,,,,,,,,,,,,,,,"$3,580,882",,,,,,,,,,,,,,,,,,"$394,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0089881,,Ran (1985),,,,,,,,,,,,,,,,,,,"$4,135,750",,,,,,,"$6,482",,,,,,,,,,,,,,,,,,,,,,,,,,,$906,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,453",,,"$18,692",,,,
0054215,,Psycho (1960),,,,,,,,,,,,,,,,,,,"$32,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,689",,,,,,,,,,"$40,242",,,,,,,,,,,,,,,,,,,"$10,994",,,,
0080455,,The Blues Brothers (1980),,"$2,283",,,,,,,,,,,,,,,,,"$57,229,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0071562,,The Godfather Part II (1974),,"$22,903",,,,,,,,,,,,,,,,,"$47,834,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,827",,,,,,,,,,,,,,,,,,,"$100,594",,,,,,,,,,,,,,
0093058,,Full Metal Jacket (1987),,,,,,,,,,,,,,,,,,,"$46,357,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0086879,,Amadeus (1984),,,,,,,,,,,,,,,,,,,"$51,973,029",,,,,,,"$46,894","$28,508",,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0087843,,Once Upon a Time in America (1984),,,,,,,,,,,,,,,,,,,"$5,321,508",,,,,,,,,,,,,,,,,,"$145,755",,,,,,,,,,,,,,,,$423,,,,,,,$753,,,,,,,,,,,,"$5,651",,,,,,,,,,,,,,
