Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
Lila dit ça (2004),,,,,,$368,,,,,"$30,885",,"$11,528",,,,,"$101,593",,,,,,,,,,,"$265,512",,,,,,,,,,,,,"$6,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Hoon Na (2004),,,,,,"$1,712,520",,,,"$107,182",,,,,"$12,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,221,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cry Wolf (2005),,,,,,"$563,911",,"$508,932","$69,261","$477,282","$404,897",,"$29,377",,"$232,901",,"$112,956",,,,,,,,,,"$16,847",,"$540,836","$18,838,390",,,,,,"$374,133","$16,675",,"$25,055",,,"$252,430",,,,,,"$2,366",,,"$72,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything Is Illuminated (2005),,,,,,"$105,305",,,"$59,758","$89,094","$93,652",,,,"$205,608",,"$8,714",,,,,,,,,,,,"$202,794","$1,094,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumbsucker (2005),,,,,,"$219,499",,,"$10,222","$232,497","$100,868",,,,"$135,239",,"$5,249",,,,,,,,,,,,"$68,414",,,,,,"$8,187",,"$29,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting... (2005),,,,,,"$1,171,170",,"$48,590",,"$577,320",,,,,,,,,,,,,,,"$47,455","$30,033","$17,669",,"$527,905",,,,"$7,899",,,"$47,273","$15,333",,,,,,,,,,,,,"$22,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumplings (2004),,,,,,"$12,810",,,,,,,,"$750,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forty Shades of Blue (2005),,,,,,"$83,666",,,,,,,,,,,"$13,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factotum (2005),,,,,,"$186,400",,"$15,163",,,,,,,"$212,349",,,"$267,054",,,,"$68,794",,,,,"$5,470",,"$45,873","$271,092","$5,019",,"$3,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeze Frame (2004),,,,,,"$38,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.S.A.: The Confederate States of America (2004),,,,,,"$20,884",,,,,,,,,,,,,,,,,,,,,,,"$51,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopgirl (2005),,,,,,"$179,260","$42,525",,,"$655,923","$429,578",,,,,,,,,,,,,,,,,,,,,"$51,077",,,"$14,018",,"$15,971",,,"$2,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Doll (2005),,,,,,"$17,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Fish (2005),,,,,,"$442,735",,,,"$2,719,751",,,,,,,,,,,,,,,,,,,,,,,,,"$4,302",,"$73,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ushpizin (2004),,,,,,"$64,248",,,,"$64,480","$35,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast on Pluto (2005),,,,,,"$1,538,347","$48,150",,"$6,580","$86,799","$119,239",,"$50,394",,"$93,432",,"$22,760",,,,"$4,708",,,,,,,,"$408,071","$531,180",,,"$2,706",,,,"$92,944",,,,,,,,,,,,"$108,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paheli (2005),,,,,,"$925,121",,,,"$81,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something New (2006),,,,,,"$15,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Chappelle's Block Party (2005),,,,,,"$91,714",,,,"$222,799",,,,,,,"$2,112",,,,,,,,,,,,,,,,,,,,"$16,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Takitani (2004),,,,,,"$53,882",,,,,,,"$36,630","$10,636","$210,904",,"$40,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Young: Heart of Gold (2006),,,,,,"$50,254",,,,"$93,270",,,,,,,,"$62,549",,,"$12,787",,,,,,,,"$24,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Who Sued God (2001),,,,,,"$1,560,867",,,,"$4,232,050",,,,,,,,,,,,,,,,,,,,,,,,,,,"$183,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown White Male (2005),,,,,,"$4,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil and Daniel Johnston (2005),,,,,,"$97,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akeelah and the Bee (2006),,,,,,"$15,712",,,,,,,,,,,,,,,,,,,,"$80,885",,,,,,,,,"$3,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebound (2005),,,,,,,$1,,,"$37,311",,,,,"$6,165",,,,,,,,,,,,,,"$6,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manderlay (2005),,,,,,,"$37,800","$70,000",,"$8,971","$30,290",,"$10,999",,,,,,,,,"$55,102",,,,,,,,"$37,270","$3,782",,"$3,621",,"$2,891",,,,,,,,,,,,,,"$7,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Lives (2005),,,,,,,"$24,500",,,,"$34,412",,,,,"$41,450",,,,,,,,,,,,,"$698,093","$167,598",,"$128,772",,,,,,,,,,,,,,,,,"$17,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BloodRayne (2005),,,,,,,"$25,750","$1,070,000",,,,,,,,,,,,,,,,,,,,,,,,"$145,304",,,,,,,,"$3,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barefoot (2005),,,,,,,,"$280,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man-Thing (2005),,,,,,,,"$143,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kin-dza-dza! (1986),,,,,,,,"$23,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Police Story (2004),,,,,,,,"$630,008",,,,,"$266,684","$2,703,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,036,644","$617,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhouse (2004),,,,,,,,"$201,899",,,"$223,384",,,"$29,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bittersweet Life (2005),,,,,,,,$714,,,,,"$1,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,357,358",,"$7,582,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Is a Miracle (2004),,,,,,,,"$345,862","$94,563",,,,"$14,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havoc (2005),,,,,,,,"$159,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,887",,,,,,,,,,,,,,
Roads to Koktebel (2003),,,,,,,,"$187,954","$33,186",,,,,,,,,,,,,"$4,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dark (2005),,,,,,,,"$390,339",,,"$874,161","$18,739","$123,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,989",,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,870",,,,,,,,,,,,,,
Whisky (2004),,,,,,,,,"$111,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unconscious (2004),,,,,,,,,"$39,580",,,,"$12,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Touch of Spice (2003),,,,,,,,,"$275,325",,,,"$43,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Move (2004),,,,,,,,,"$117,091",,,,,,,,,,,,,,,,,,,,"$433,715","$10,387,659","$10,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creep (2004),,,,,,,,,"$127,489",,"$57,558",,"$334,154","$71,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$178,114",,,,,,,"$142,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,496",,,,,,,,,,,,,,
The Aura (2005),,,,,,,,,"$1,458,848",,,,,,,,,,"$99,811",,,,,,,,,,"$168,518",,,,,,,,"$19,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yesterday (2004),,,,,,,,,"$12,182","$119,031","$66,808",,,,,,,,,,,,,,,"$39,312",,,,,,,,,,,,,,,,,,,,,,,,,"$9,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Caiman (2006),,,,,,,,,"$40,945","$1,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shutter (2004),,,,,,,,,"$142,885",,"$1,168,955",,"$21,519","$406,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,398",,,"$1,838,982","$2,584,600","$67,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Year of the Yao (2004),,,,,,,,,,"$1,531",,,"$1,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crackerjack (2002),,,,,,,,,,"$4,518,797",,,,,,,,,,,,,,,,,,,,,,,,,,,"$198,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercross (2005),,,,,,,,,,"$19,081",,,,,,,,,,,,,,,,,,,,,,"$112,800",,,,,,,,,"$110,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble (2005),,,,,,,,,,"$1,041",,,,,,,,,,,,,,,,,,,,"$111,913",,,,,,,,,,,,,,,,,,,"$3,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Descent (2005),,,,,,,,,,"$26,760",,,,,,,,,,,,,,,"$157,403",,,,,,,,"$2,669",,,,"$50,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glory Road (2006),,,,,,,,,,"$2,878",,,,,"$23,751",,,,,,,,,,,,,,,,,,,,,,"$43,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half Light (2006),,,,,,,,,,"$33,528","$1,852,000",,,,,,,,,,,,,,,,,,,,,,,,,"$375,643",,,,,,,,,,,,,"$215,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Children and It (2004),,,,,,,,,,"$478,180",,,"$3,961",,,,,,,,,,,,,,,,,,,,,,,,"$71,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before the Fall (2004),,,,,,,,,,,"$35,712",,"$22,404",,"$3,421,465",,"$97,345",,,,,,,,,,,,"$43,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heights (2005),,,,,,,,,,,"$67,575",,,,,,,,,,,,,,,,,,"$77,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Order (2001),,,,,,,,,,,"$497,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Greatest Game Ever Played (2005),,,,,,,,,,,"$77,451",,,,"$13,278",,"$3,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annapolis (2006),,,,,,,,,,,"$140,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agata and the Storm (2004),,,,,,,,,,,"$13,269",,,,"$656,415",,"$80,361",,,,,"$103,024",,,,,,,$1,"$2,473,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big White (2005),,,,,,,,,,,"$69,522","$10,856",,,,,,,,,,,,,"$22,252",,,,"$3,556","$95,009","$3,784",,,,"$6,863",,,,,,,"$79,446",,,,,,,"$64,734",,"$11,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile (2005),,,,,,,,,,,"$1,285,184","$16,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$326,563","$114,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoot (2006),,,,,,,,,,,"$46,181",,,,,,,,,,,,,,,,,,"$61,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaritan Girl (2004),,,,,,,,,,,,,"$13,479",,,,,,,,,,,,"$9,421",,,,,"$305,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saving Face (2004),,,,,,,,,,,,,"$38,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone (2002),,,,,,,,,,,,,"$230,170","$280,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,729,327",,"$12,784,769","$19,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Swords (2005),,,,,,,,,,,,,"$280,366","$979,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$133,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother of Mine (2005),,,,,,,,,,,,,"$7,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riding Alone for Thousands of Miles (2005),,,,,,,,,,,,,"$3,180","$36,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,516,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinci (2004),,,,,,,,,,,,,"$42,234",,,,,,,,,,"$1,575,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,891,421",,,,,,,,,,,,,,,,,,,,,,,,,
My Date with Drew (2004),,,,,,,,,,,,,,"$45,810",,,,"$35,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamakasi (2001),,,,,,,,,,,,,,"$82,974",,,,"$9,000",,,,,,,,,,,"$978,048","$25,494","$17,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quo Vadis (1951),,,,,,,,,,,,,,,,,,,,,,,,,"$79,923",,,,,,,,,,,,,,,,,,,,,,,,"$21,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barely Legal (2003),,,,,,,,,,,,,,,,,,,,,,,,,"$25,298",,,,,,,,"$31,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Ransom (2005),,,,,,,,,,,,,,,,,,,,,,,,,,"$41,684",,,,,,"$89,645",,,,,,,"$3,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madea's Family Reunion (2006),,,,,,,,,,,,,,,,,,,,,,,,,,"$50,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beowulf & Grendel (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undiscovered (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeshis' (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,226","$29,456",,,,,,,,,,,,,,,,,,"$1,227,755",,"$3,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Bundy (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duma (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything Put Together (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off the Map (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Deal (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilwale Dulhania Le Jayenge (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,602",,,,,"$7,578",,,,,,"$36,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Theft Parsons (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Even Money (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thing About My Folks (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dying Gaul (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Game of Their Lives (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Taste of Tea (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born to Fight (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$432,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
