imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1504019,,Memories of My Melancholy Whores (2011),,,,,,,,,,,"$16,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,471",,,,,,,,,,,,,,,,"$148,163",,,,,,,,,,,,,,,,,,,,,
2461132,,Happy New Year (2014),,"$567,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$232,246",,,,,,,"$92,327",,,,,,,,,,,,,,,,,,,,,,,,,,,
2046090,,The End (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,838",,,,,,,,,,"$10,861",,,,,,"$2,934",,,,,,,,,,,,,,,,,,,,,
2597242,,At the Devil's Door (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,228",,,,,,,,,,,,,,,,,,,,,,,,,,,
2217458,,Reaching for the Moon (2013),,,,,,,"$1,439,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,253",,,,,,,,,,,"$8,730",,,
1043860,,Newcastle (2008),,"$138,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$114,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642665,,The Depraved (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215077,,Half of a Yellow Sun (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$214,101",,,
1028581,,Love N' Dancing (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,666",,,,
1272018,,Kandagar (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,867,613",,,,,,,,,,,,,,,,,,,,,
1537481,,Space Chimps 2: Zartog Strikes Back (2010),,,,,"$329,960",,,,,,,,,,,,,,,,,,,"$441,374",,,,,,"$15,674",,,,,,,,,,,"$1,931",,,,,,,,,,,,,,,,,,,"$667,551",,,,,"$180,842","$172,194",,,,,,,,,,,"$199,284","$2,318,090",,,
1417108,,Torrente 4: Lethal Crisis (2011),"$539,738",,,,,"$6,238",,,"$7,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,558",,,,,,,,,,,,,,,,,,,,,,,,,"$30,956",,
3321428,,Torrente 5 (2014),"$187,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,430",,
