imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2910904,,The Dressmaker (2015),"$102,356","$15,650,395",,,,,"$115,466",,,,"$34,665",,,,"$2,022,115",,,,,"$298,642",,,,,,,,,,"$1,896,834",,,,,,,,,,"$1,372,652",,,$378,,"$17,133",,"$174,250",,,"$94,925",,"$44,470",,,"$176,117","$360,285","$1,217,751",,,,"$216,505","$186,793","$145,857",,"$64,003","$811,834",,,
0268579,,Ripper (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,207",,,,,,,,"$29,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3626804,,Nowitzki: The Perfect Shot (2014),,,,,,,,,,,,,,,,,,,,,,"$578,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0774756,,Twice Upon a Time (2006),"$110,611","$82,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,941",,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,192",,
3203606,,Trumbo (2015),"$44,851","$251,559","$42,986",,,,"$168,563",,,,,"$8,529",,"$14,508",,,,,,,"$950,274","$112,484",,,"$52,713",,,,,"$163,429",,,,,$474,"$6,244",,,"$50,285","$90,970",,,$68,"$7,250",,,"$92,768",,,"$56,733","$9,067","$7,678",,$506,"$12,992","$414,431","$674,260",,"$61,508",,"$23,585","$5,013",,,"$16,500","$211,949","$8,684","$11,423",
1172587,,Delhi Safari (2012),,,,,,,,,,"$1,270,000",,,,,,,,,,,,,,,,,,"$399,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,826,376",,,,,,,,,,,,,
3400460,,Foodies: The Culinary Jet Set (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,045",,,,,,,,,,"$4,883",,,,,,,
4428788,,Marguerite (2015),"$68,297","$69,720","$49,911",,"$189,839",,"$124,864",,,,,,"$6,032",,,,,,,"$26,410","$6,674,379","$244,441",,,,,"$2,293",,,,,,,,"$9,472",,,,,"$37,197",,,,,,,"$17,370",,$928,"$17,608",,,,$652,,"$40,577","$400,227",,"$207,626",,,,,,,"$59,836",,,
1861375,,War of the Buttons (2011),,,,,,,"$108,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837587,,War of the Buttons (2011),,,,,"$542,355",,,,,,,,"$10,510",,,,,,,,"$13,602,454","$282,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$594,862",,,,,"$1,668",,,,,,,
