imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0074958,,Network (1976),,,,,,,,,,,,,,,,,,,"$23,689,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$880,,,,,,,,,,,,,,,
0172632,,Joe Gould's Secret (2000),,,,,,,,,,,,,,,,,,,"$468,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,466",,,,,,,,,,,,,,
0051406,,Bell Book and Candle (1958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0097940,,Mystery Train (1989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,994",,,,,,,,,,,,,,,"$3,755",,,,,,,
0093773,,Predator (1987),"$667,853","$1,326,911","$300,392",,"$251,192","$54,497","$2,294,172",,"$416,048",,"$131,632",,"$349,820",,,,,"$164,857","$59,735,548",,,"$37,124",,"$159,484","$7,131,087","$2,722,580",,"$187,690","$993,602",,,"$19,173",,"$90,364","$2,636,188","$64,750","$6,965,715",,,,,,"$318,473","$290,231",,,,"$141,217",,"$127,943","$67,293",,,"$150,001","$232,470",,"$141,828","$513,272",,,,"$187,289",,"$308,835",,,,"$2,263,918",,"$305,598","$261,546","$731,962","$111,972",,,,,"$4,758,975","$95,849","$559,107",,
0082934,,The Postman Always Rings Twice (1981),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,791",,,,,,,,,,,,,,,
0191754,,28 Days (2000),,,,,,,,,,,,,,,,,,,,,,,,,,"$857,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0144084,,American Psycho (2000),,,,,,,,,,,,,,,,,,,"$15,070,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0149367,,Where the Money Is (2000),,"$9,128",,,,,,,,,,,,,,,,,"$5,661,798",,,,,,,,,,,,,,,,,,,,,,,,,"$206,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0236216,,The Filth and the Fury (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
