Movie Name,South Korea,Italy,China,Malaysia,Hong Kong,Vietnam,Singapore,United Arab Emirates,Oman,New Zealand,Thailand,Philippines,Japan,Russia/CIS,Taiwan,Norway,Peru,Mexico,Argentina,Venezuela,Chile,United Kingdom,France,South Africa,Spain,Australia,Türkiye,Germany,Greece,Poland,Austria,Finland,Netherlands,Czech Republic,Hungary,Domestic,Belgium,Ukraine,Qatar,Romania,Israel,Bahrain,Egypt,Lebanon,Switzerland (German),Nigeria,Bulgaria,Jordan,Portugal,Croatia,Switzerland (French),Kenya,Slovakia,Latvia,Lithuania,Estonia,Serbia and Montenegro,Slovenia,Ghana,Ethiopia,Brazil,Colombia,Ecuador,Bolivia,Uruguay,India,Iceland,Sweden,Denmark
French Spies (2004),,,,,,,,"$74,568",,,,,,"$1,138,049","$9,217",,,,,,,,"$12,507,292",,"$87,008",,,,,,,,,"$31,431",,,,,,,,,"$1,678",,,,,,,,,,"$4,439",,,,,,,,,,,,,,,,
Prem Ratan Dhan Payo (2015),,,,,,,,"$2,286,104","$340,089","$422,176",,,,,,,,,,,,"$2,290,181",,,,"$623,670",,"$107,782",,,"$13,421",,,,,,"$11,251",,"$262,840",,,"$273,963",,,,"$10,869",,,,,,,,,,,,,,,,,,,,"$41,708,786",,,
The Christmas Candle (2013),,,,,,,,,,"$71,342",,,,,,"$15,999",,,,,,"$12,628",,,,"$118,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go Goa Gone (2013),,,,,,,,,,"$9,899",,,,,,,,,,,,"$120,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice Upon a Time (2006),,,,,,,,,,"$61,941",,,,,,,,,"$110,611",,,,,,,"$82,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,192",,,,
The Falling (2014),,,,,,,,,,"$14,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock the Casbah (2013),,,,,,,,,,"$5,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Harmony (2015),,,,,,,,,,"$5,253",,,,,,,,,,,,,"$3,212,516",,,,,,,,,,,,,,"$21,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War of the Buttons (2011),,,,,,,,,,,"$1,668",,,,,,,,,,,,"$13,602,454",,"$594,862",,,"$282,789",,,,,,"$10,510",,,"$542,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight A's (2013),,,,,,,,,,,,"$17,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unforgiven (2013),,,,,,,,,,,,,"$6,755,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poslednyaya skazka Rity (2012),,,,,,,,,,,,,,"$486,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Treasure (2015),,,,,,,,,,,,,,"$10,850",,,,,,,,,,,"$13,934",,,,,,,,,,,,,,,,,,,,,,,,"$3,409",,,,,,,,,,,,"$3,145",,,,,,$851,,
Alive (2006),,,,,,,,,,,,,,"$3,214,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood of My Blood (2015),,,,,,,,,,,,,,"$5,943",,,,,"$55,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Passions (2014),,,,,,,,,,,,,,"$167,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,990",,,,,,,,,,,,
A Distant Neighbourhood (2010),,,,,,,,,,,,,,"$29,171",,,,,,,,,"$78,593",,,,,"$86,036",,,"$6,532",,,,,,"$31,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden (2009),,,,,,,,,,,,,,,,"$1,111,246","$313,768","$64,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
