Movie Name,Domestic,Australia,United Kingdom,Portugal,France,New Zealand,South Korea,Japan,Hong Kong,Taiwan,Singapore,Thailand,Malaysia,Philippines,Germany,Italy,Netherlands,Sweden,Spain,Switzerland,Belgium,Austria,South Africa,Norway,Israel,Denmark,Finland,Greece,Kenya,Türkiye,Hungary,Brazil,Argentina,Mexico,Colombia,Venezuela,Chile,Peru,Ecuador,Central America,Uruguay,Lesser Antilles,Dominican Republic,United Arab Emirates,Czech Republic,Bulgaria,Lebanon,Ukraine,Iceland,Serbia and Montenegro,Latvia,Croatia,Bolivia,Russia/CIS,Poland,Baltic States,Middle East,Slovenia,Czech Republic/Slovakia,Puerto Rico,West Indies,India,Greece and Cyprus,S/E/W Africa,Egypt,Jamaica,Cyprus,Romania,Indonesia,Trinidad & Tobago,China,Middle East Other,Yugoslavia,Sri Lanka,Russia/CIS/Ukraine,Middle East/UAE,Lithuania,Estonia,Central America+,Paraguay,Netherlands Antilles,Panama
Night of the Creeps (1986),"$591,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Max (1979),"$8,750,000","$1,440",,,"$21,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Road Warrior (1981),"$23,667,907",$462,,,,$37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Heart (1987),"$17,185,632",,,,,$322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine (1999),"$5,096,267","$310,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Conversation (1974),"$4,671,805","$12,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutter's Way (1981),"$1,729,274",,"$23,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpico (1973),"$29,800,000",,"$26,817",,"$29,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sugarland Express (1974),"$7,500,000",,,,"$4,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Trouble in Little China (1986),"$11,100,000",,,,,$577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battleship Potemkin (1925),"$51,198",,"$6,422","$3,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaft (2000),"$70,334,258","$2,848,689",,,,,,,,,,,,,,"$429,627",,,,,,,,,,"$312,960",,,,,,,,,,,,,,,,,,,,,,,"$63,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly (1999),"$2,092,682",,,,,,,,,"$4,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Proust's Time Regained (1999),"$247,728",,,"$1,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Run (2000),"$106,834,564","$8,487,916","$40,247",,,$149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
