Movie Name,Argentina,Uruguay,Australia,Russia/CIS,Türkiye,France,Spain,Germany,United Kingdom,United Arab Emirates,Romania,Belgium,Portugal,Ukraine,South Africa,Oman,Thailand,Singapore,Philippines,Domestic,New Zealand,South Korea,Austria,Lebanon,Peru,India,Malaysia,Nigeria,Kenya,Venezuela,Italy,Poland,Netherlands,Sweden,Czech Republic,Slovakia,Lithuania,Greece,Croatia,Latvia,Mexico,Ecuador,Bolivia,Vietnam,Bahrain,Brazil,Norway,Iceland,Chile,Colombia,Taiwan,Denmark,Slovenia,Hungary,Switzerland (French),Switzerland (German),China,Finland,Bulgaria,Serbia and Montenegro,Israel,Qatar,Hong Kong,Cambodia,Switzerland,Estonia,Japan,Ethiopia,Ghana,Egypt,Indonesia
Burning Man (2011),,,"$133,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosalie Blum (2015),,,"$1,043,397",,,,,,,,,,,,,,,,,,"$160,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'attesa (2015),,,"$325,136",,"$7,662",,"$124,762",,"$2,012",,,,"$16,210",,,,,,,,,"$42,115",,,,,,,,,"$422,041",,,,,,"$4,748","$10,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mojin: The Lost Legend (2015),,,"$540,091",,,,,,,,,,,,,,"$6,686","$365,803",,,"$83,408",,,,,,"$87,457",,,,,,,,,,,,,,,,,"$217,922",,,,,,,"$1,007,804",,,,,,"$255,747,040",,,,,,"$68,427",,,,,,,,
Ip Man 3 (2015),,,"$702,743",,"$347,768",,,"$294,487","$115,363","$74,680",,,,,,,"$489,686","$5,387,597",,"$2,679,437","$209,439","$336,820","$16,766",,,,"$6,566,017",,,,,,,,,,,,,,,,,"$1,973,668",,,,,,,"$5,891,078",,,,,,"$124,101,198",,,,,,"$7,842,871",,,,,,,,
Bhagam Bhag (2006),,,"$49,359",,,,,,"$985,034",,,,,,,,,,,,,,,,,"$12,906,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khushi (2003),,,"$5,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ode to My Father (2014),,,"$104,021",,,,"$15,958",,,,,,,,,,"$6,004","$17,613",,"$2,300,121","$72,207","$182,243,343",,,,,"$9,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,431",,,,,,,,
Hunt for the Wilderpeople (2016),,,"$8,820,444",,,,,,"$1,114,299",,,,,,,,,"$13,995",,"$5,205,468","$23,398,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,032",,,,,,,,,,,,,,,,,,,
No Entry (2005),,,"$32,787",,,,,,"$486,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil's Candy (2015),,,,"$211,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Got a Gun (2015),,,,"$108,868",,"$1,027,749","$132,358","$79,615","$45,311","$35,859","$29,734","$15,880","$14,490","$12,222","$11,052","$4,607","$29,241","$3,724","$3,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleepless (2001),,,,"$70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonwalkers (2015),,,,"$51,692","$1,719",,,,,,,"$37,476",,,,,,,,,,,,,,,,,,,,,,,,,"$1,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackpot (2011),,,,"$20,176",,,,,"$136,527",,,,,,,,,,,$806,"$18,001",,,,,,,,,,,"$7,682",,,,,,,,,,,,,,,"$893,367","$2,025",,,,,,,,,,,,,,,,,,,,,,,
Correspondence (2016),,,,"$106,744",,,"$201,766",,,"$6,021",,,"$27,962","$11,050",,,,,,,,"$26,415",,,,,,,,,"$3,449,086",,,,,,"$3,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Country (2009),,,,"$1,000,015",,,,,,"$122,407",,,,"$24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiener-Dog (2016),,,,"$20,623",,"$112,290",,,"$111,695",,,,"$9,634",,,,,,,,,,,,,,,,,,,,,,,,"$3,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposed (2016),,,,"$46,263",,,,,,,,,,,,,"$23,136",,,,,,,,,,"$61,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirli-myrli (1995),,,,"$4,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martyrs (2015),,,,"$80,673",,,,,,,,,,,,,,,,,,"$13,215",,,"$76,860",,,,,,,,,,,,,,,,,,,,,"$181,389",,,,,,,,,,,,,,,,,,,,,,,,,
Long Way North (2015),,,,"$24,832",,,,,,,,,,,,,,,,,"$16,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
