Movie Name,Domestic,Spain,France,Finland,United Kingdom,New Zealand,Australia,Germany,Czech Republic,South Korea,Russia/CIS,Hong Kong,Taiwan,Italy,Netherlands,Portugal,Ukraine,Austria,Denmark,Iceland,Hungary,Mexico,Türkiye,Brazil,Bulgaria,Argentina,Chile,Sweden,Poland,Egypt,South Africa,Slovakia,Peru,Japan,India,Russia/CIS/Ukraine,Thailand,Philippines,Singapore,Malaysia,Indonesia,Sri Lanka,Belgium,Switzerland,Greece,Israel,Middle East/UAE,Czech Republic/Slovakia,Norway,Romania,Lebanon,Slovenia,Croatia,Cyprus,Kenya,Central America+,Venezuela,Colombia,China,Russia,Greece and Cyprus,S/E/W Africa,Latvia,Lithuania,Estonia,Serbia and Montenegro,Central America,Puerto Rico,Ecuador,Uruguay,Dominican Republic,Bolivia,Lesser Antilles,Jamaica,Middle East Other,United Arab Emirates,East Africa,Vietnam,Palestine,Baltic States,West Indies
Road House (1989),"$30,050,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweetie (1989),"$938,065",,$497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire's Kiss (1988),"$725,131",,,,,$607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat (1988),"$2,344,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild Child (1970),"$65,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Others (2001),"$96,574,143","$24,157,199","$7,674,181","$336,203","$16,769,803","$459,441","$5,407,845","$3,742,418","$58,408","$6,248,365",,"$1,565,767","$770,974",,"$1,458,892",,,"$461,178",,,"$131,442","$10,854,640",,"$4,209,593",,,,,,"$367,774","$316,191",,,"$10,682,636",,,,,,,,,,,,,,,"$437,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innocence (2000),"$2,202,382",,"$8,184",,,,,"$15,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maybe Baby (2000),"$20,501",,,,,,,,,,,,,,,,,"$144,545",,,,,,,,"$8,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Together (2000),"$1,034,829",,,,"$662,053",,,,,,,,,,,,,,,,,,,,,"$23,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortilla Soup (2001),"$4,467,615",,,,,,,"$8,818",,,,,,"$5,111",,,,,,,,"$45,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
